Participant_ID,Gender,Age,Marital_Status,Educational_Level,Monthly_Income,Family_Size,ECP_Name,ECP_Use_times_yr,Purchase_Qty,ECP_Source,Usability_Navigation,Content_and_Clarity,User_Engagement,Functionality_Features,User_Cantered_Design,Result
0,Female,30,Married,Bachelor,1000,2,Amazon,3,3,Referred from other website,Agree,Agree,Agree,Agree,Agree,Agree
1,Male,30,Married,Bachelor,1000,2,Amazon,6,3,Search engines like google,Agree,Agree,Agree,Agree,Agree,Agree
2,Female,30,Married,Master,200,4,Modanisa,3,6,From online advertisement,Neutral,Agree,Agree,Agree,Agree,Agree
3,Female,30,Married,Master,500,2,ebay,3,3,Search engines like google,Strongly Agree,Agree,Agree,Agree,Disagree,Agree
4,Male,30,Married,PHD,1000,2,Amazon,10,6,Search engines like google,Agree,Strongly Agree,Agree,Agree,Agree,Agree
5,Male,20,Single,Master,1000,5,Others,6,3,From online advertisement,Agree,Agree,Agree,Agree,Agree,Agree
6,Male,30,Married,Bachelor,1000,2,Amazon,9,6,"Social media applications like Facebook, Instagram and others",Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree
7,Female,20,Married,Higher Diploma,1000,2,Others,3,10,From online advertisement,Agree,Agree,Agree,Agree,Agree,Agree
8,Male,40,Married,Bachelor,1000,5,ebay,6,3,Other,Agree,Agree,Neutral,Neutral,Neutral,Neutral
9,Male,20,Single,Bachelor,800,5,OpenSooq,3,3,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Agree
10,Male,30,Married,Bachelor,800,2,OpenSooq,6,3,From online advertisement,Agree,Agree,Agree,Agree,Agree,Agree
11,Male,30,Married,Master,800,5,OpenSooq,6,3,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Agree
12,Female,30,Single,Master,500,2,Others,3,3,"Social media applications like Facebook, Instagram and others",Neutral,Neutral,Neutral,Agree,Agree,Neutral
13,Male,40,Married,Diploma,200,5,Others,3,3,"Social media applications like Facebook, Instagram and others",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
14,Male,30,Married,PHD,1000,5,Modanisa,3,6,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Agree
15,Male,30,Married,Bachelor,1000,2,OpenSooq,3,3,From online advertisement,Agree,Agree,Agree,Agree,Agree,Agree
16,Female,20,Married,Bachelor,200,2,Others,6,3,"Social media applications like Facebook, Instagram and others",Neutral,Agree,Agree,Neutral,Agree,Agree
17,Female,40,Married,Bachelor,800,5,Modanisa,3,6,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Agree
18,Female,40,Married,Master,800,5,Modanisa,3,3,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Agree
19,Male,30,Married,Bachelor,1000,2,OpenSooq,6,3,From online advertisement,Disagree,Agree,Agree,Agree,Agree,Agree
20,Male,30,Married,Master,1000,2,Amazon,3,3,Other,Neutral,Neutral,Neutral,Agree,Agree,Neutral
21,Male,30,Married,PHD,1000,5,Amazon,9,6,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Agree
22,Female,20,Married,Bachelor,200,2,Others,3,3,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Agree
23,Male,20,Married,Bachelor,200,2,Shein,6,6,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Agree
24,Female,40,Married,Bachelor,1000,5,Shein,3,6,Other,Agree,Agree,Agree,Agree,Agree,Agree
25,Female,20,Single,Bachelor,500,5,Shein,6,10,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Agree
26,Female,20,Single,Bachelor,500,5,Shein,6,10,From online advertisement,Agree,Agree,Agree,Agree,Agree,Agree
27,Female,20,Married,Master,500,2,Shein,3,3,Referred from other website,Agree,Agree,Agree,Agree,Agree,Agree
28,Female,30,Married,Master,500,2,Others,3,3,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Agree
