Gender,Age,Marital_Status,Educational_Level,Monthly_Income,Family_Size,ECP_Name,ECP_Use_time,Purchase_Qty,ECP_Source,UXQ_01,UXQ_02,UXQ_03,UXQ_04,UXQ_05,UXQ_06,UXQ_07,UXQ_08,UXQ_09,UXQ_10,UXQ_11,UXQ_12,UXQ_13,UXQ_14,UXQ_15,UXQ_16,UXQ_17,UXQ_18,UXQ_19,UXQ_20,UXQ_21,UXQ_22,UXQ_23,UXQ_24,UXQ_25,UXQ_26,UXQ_27,UXQ_28,UXQ_29,UXQ_30,UXQ_31,UXQ_32,UXQ_33,UXQ_34,UXQ_35,UXQ_36,UXQ_37,UXQ_38,UXQ_39,UXQ_40,UXQ_41,,
Female,30 - 39 years old,Married,Bachelor,1000 or more,2 - 4,Amazon,1 - 3 times/year,1 - 3,Referred from other website,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly disagree,,
Male,30 - 39 years old,Married,Bachelor,1000 or more,2 - 4,Amazon,4 - 6 times/year,1 - 3,Search engines like google,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Disagree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly disagree,,
Female,30 - 39 years old,Married,Master,200 - 499,4-Feb,Modanisa,1 - 3 times/year,4 - 6,From online advertisement,Strongly Agree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,,
Female,30 - 39 years old,Married,Master,500 - 799,2 - 4,ebay,1 - 3 times/year,1 - 3,Search engines like google,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Agree,Disagree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly disagree,,
Male,30 - 39 years old,Married,PHD,1000 or more,2 - 4,Amazon,10 or more times/year,4 - 6,Search engines like google,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly disagree,,
Male,20 - 29 years old,Single,Master,1000 or more,5 - 7,Others,4 - 6 times/year,1 - 3,From online advertisement,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Disagree,,
Male,30 - 39 years old,Married,Bachelor,1000 or more,2 - 4,Amazon,7 - 9 times/year,4 - 6,"Social media applications like Facebook, Instagram and others",Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,,
Female,20 - 29 years old,Married,Higher Diploma,1000 or more,2 - 4,Others,1 - 3 times/year,10 or more,From online advertisement,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,
Male,40 - 49 years old,Married,Bachelor,1000 or more,5 - 7,ebay,4 - 6 times/year,1 - 3,Other,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,,
Male,20 - 29 years old,Single,Bachelor,800 - 999,5 - 7,OpenSooq,1 - 3 times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Strongly Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Disagree,,
Male,30 - 39 years old,Married,Bachelor,800 - 999,2 - 4,OpenSooq,4 - 6 times/year,1 - 3,From online advertisement,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,,
Male,30 - 39 years old,Married,Master,800 - 999,5 - 7,OpenSooq,4 - 6 times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,
Female,30 - 39 years old,Single,Master,500 - 799,2 - 4,Others,1 - 3 times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Strongly disagree,Neutral,Neutral,Neutral,,
Male,40 - 49 years old,Married,Diploma,200 - 499,5 - 7,Others,1 - 3 times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,,
Male,30 - 39 years old,Married,PHD,1000 or more,5 - 7,Modanisa,1 - 3 times/year,4 - 6,"Social media applications like Facebook, Instagram and others",Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,,
Male,30 - 39 years old,Married,Bachelor,1000 or more,2 - 4,OpenSooq,1 - 3 times/year,1 - 3,From online advertisement,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,,
Female,20 - 29 years old,Married,Bachelor,200 - 499,2 - 4,Others,4 - 6 times/year,1 - 3,"Social media applications like Facebook, Instagram and others",Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,,
