Category,UXQ,Agree,Disagree,Neutral,Strongly Agree,Strongly disagree
Usability Navigation,Aesthetic_Norms,82,14,55,49,8
Usability Navigation,Aesthetics,79,14,61,49,5
Usability Navigation,Appealing_Colors,81,10,58,50,9
Usability Navigation,Appropriate_Text_Size,77,16,61,48,6
Usability Navigation,Clear_Content,86,12,53,53,4
Usability Navigation,Communication,79,13,46,59,11
Usability Navigation,Content_Clarity,71,18,51,57,11
Usability Navigation,Content_Structure_Facilitative,66,14,53,68,7
Content and Clarity,Contextual_Information,85,18,56,44,5
Content and Clarity,Engaging,78,18,56,51,5
Content and Clarity,Enjoyable,69,17,47,66,9
Content and Clarity,Entertainment,73,15,51,63,6
Content and Clarity,Flexibility,72,22,55,48,11
Content and Clarity,Friendly_Terminology,86,14,55,49,4
User Engagement,Functionality_Findable,84,24,50,47,3
User Engagement,Functionality_Usable,84,19,48,52,5
User Engagement,Functionality_User_friendly,72,18,60,49,9
User Engagement,Goal_Alignment,81,12,52,52,11
User Engagement,Helpful_Images,81,18,44,52,13
User Engagement,Information_Expected,87,9,54,47,11
User Engagement,Innovative_Design,77,18,53,53,7
User Engagement,Intra_page_Effective,81,14,50,57,6
User Engagement,Intuitive_Product_Naming,73,24,53,55,3
User Engagement,Links_Obvious,82,16,57,43,10
User Engagement,Navigation_Efficient,71,15,33,82,7
User Engagement,Navigation_Structure,72,18,56,56,6
Functionality and Features,Page_Loading_Consistency,58,24,61,53,12
Functionality and Features,Product_Content_Simple,78,14,60,47,9
Functionality and Features,Satisfaction,84,13,49,55,7
Functionality and Features,Search_Quick,67,18,43,71,9
Functionality and Features,Simple_Design,77,16,52,59,4
Functionality and Features,Structure_Hindrance,42,50,60,41,15
Functionality and Features,Suitable_Content_Amount,82,13,51,58,4
Functionality and Features,Terminology_Clear,75,11,55,57,10
Functionality and Features,Trustworthy,65,18,52,65,8
User-Centered Design,Usefulness,78,18,57,48,7
User-Centered Design,User_Control,83,10,55,53,7
User-Centered Design,User_friendly,70,10,55,67,6
User-Centered Design,Valuable,82,13,55,50,8
User-Centered Design,Value_Proposition,72,14,53,61,8
User-Centered Design,Visual_Appeal,82,9,49,58,10
