Division,District,Upzila,Union,Population,Area,xCoodinate,yCoodinate,,,
Rajshahi,Natore,Baraigram,All,230480,299.61,24.3171,89.1635,,,
Rajshahi,Natore,Lalpur,All,274405,327.92,24.1833,88.9568,,,
Rajshahi,Pabana,Atgharia,All,124454,186.15,24.1133,89.2431,,,
Rajshahi,Pabana,Ishwardi,All,313932,246.9,24.1292,89.0657,,,
Rajshahi,Pabana,Ishwardi,Rooppur,313932,246.9,24.0637,89.0514,,,
Rajshahi,Pabana,Pabna Sadar,All,431513,443.9,24.0076,89.2383,,,
Khulna,Kushtia,Kumarkhali,All,328457,265.89,23.8596,89.2396,,,
Khulna,Kushtia,Mirpur,All,330115,317.35,23.9309,89.0006,,,
Khulna,Kushtia,Bheramara,All,200084,153.72,24.0211,88.9922,,,
,,,,,,,,,,
